web-scraper-order,web-scraper-start-url,stars,review,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390296-4907,https://www.taptap.com/app/85838/review?order=default&page=18,width:,14px,这游戏根本就不是正统暗黑！暗金（传说）包括套装才两条随机魔法属性，暗金武器防具全部一个装备技能，套装防具附加两个装备技能。装备词条太过单一没什么可刷的，不过就是需求等级和属性高低的差别罢了！还有职业初始3选一，连性别都没的选。很想氪金买圣骑士玩，但是这游戏策划***愣是把圣骑士做成了王大锤。西方包括北欧神话里圣殿骑士基本都是用剑的，要么双手大剑，要么单手剑或者再拿个盾牌！还有想玩其他职业还要用道具激活，而且还能升星。总结:这就是披着暗黑风格ARPG外衣的大型3D闯关卡牌养成游戏！别随随便便找个国外三流游戏公司做个游戏就拿出来糊弄广大暗黑粉！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390321-5108,https://www.taptap.com/app/85838/review?order=default&page=8,width:,42px,大家好，作为一个不会写长评的用户，请老铁们凑活着看，下面是我肝一天后的体验！首先要说明的是，一个游戏的好坏，不能仅用氪金与不氪金来衡量，而是对于光大玩家（平民玩家）来说，轻氪或者不氪，这游戏是否还能玩的下去。。。事实证明，拉结尔还是可以稍微玩一下的（稍微），请不要注重排行榜，请不要注重过副本，副本打不动就慢慢磨，总会磨过去的！！！下面是今天公测的游戏体验优点：打击感和下副本刷怪的畅快感让我为之一振，确实很不错，比前几次内测舒服了很多，喜欢暗黑风地下城的小伙伴可以坚持玩下去，毕竟手游里我觉得这已经算是很好了！缺点：挺肝，而且不知道肝了些啥，反正你不打，也没啥可以玩的！！！氪金，各种材料商店都有卖，想要？用钻石买，没有想要的？用钻石刷新！！（怎么感觉和阴阳师的买御魂很像）！！然后就是时装，宠物，这些不多说了，不氪玩个***。总的来说，佛系玩家可以玩一玩，千万别纠结排行榜啥的，看着爽爽就行了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390272-4706,https://www.taptap.com/app/85838/review?order=default&page=28,width:,14px,我也不知道我为啥玩个弓箭手，其它职业我不清楚，攻击键一直按一直爽，移动键一直按一直当你没按！！这年头我第一次玩到不能一边走一边攻击的站桩攻击游戏，不能移动攻击我玩远程职业的意义何在？！瞬移技能只能往前冲你当我是战士啊？！又是宠物又是翅膀，全是充值按钮，就差元宝回收，我完了比真传奇还奇迹的真暗黑。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390336-5259,https://www.taptap.com/app/85838/review?order=default&page=1,width:,28px,说一说自己玩了五个小时的看法。注：无氪,倾家荡产冲战榜80一个类暗黑手游，抄什么的就不谈了，都正常。游戏内容基本上就是剧情，酒馆副本，类d3的奈非天和钥匙本，以及地图探索任务，一个字，肝，想起来腰还有点疼。游戏对手机要求貌似比较高，我自己华为mate9卡的昏天黑地，加载速度宛如进了个泥潭。最后自己调了渣画质，像素游戏就此展开，进组队本卡的开始即是结束。无力吐槽新手开局无需充值也可以玩，就解解闷三个初始人物轮番耍，前期套装很好做，成型也挺快，也可以感受到刷刷刷的快感，这是我没打一星的点。至于氪金，腾讯游戏现在一贯的肝本子，抽时装，开角色，上神宠等等等，emmmm,无力吐槽。后因为无法承受满眼的氪金礼物和入口而阵亡。享年五个小时。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390289-4871,https://www.taptap.com/app/85838/review?order=default&page=20,width:,42px,喜闻拉结尔开服首先发点最新攻略游戏攻略职业：平民游侠，小氪骑士，大氪傀儡，法师/蛮子目前下水道，加强路上，强度未知氪金攻略巅峰，特权等必备礼包不说了，门槛性价比最高强化，其次宝石，剩下随意，有钱可以去搞宠物，灵魂石配装攻略自行体验吧，高级绿是终极套，配合一部分传奇，其余大部分都是垃圾，策划不定期暗改下面说几句心得这游戏测了半年多了，玩了3测前期游戏做的不错，但是后期体验极差，策划跟运营很垃圾说几个关键字,逼氪，暗改，滚服爆肝体验=无尽的垃圾扭曲套，基本只能从排卖买高级绿，而近期改成了最低50RMB意见。。哦对了，买家购买的装备使用的绿砖（充钱），卖家获得是绑钻（无法交易）个中好坏，可以社区翻翻老玩家的评论冲了5000多还是最后想想还是弃了，有些水军啊这游戏你洗不动的啊，各位入坑自行掂量吧看完攻略的点赞，不然永远爆扭曲。。滑稽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390287-4853,https://www.taptap.com/app/85838/review?order=default&page=21,width:,14px,我就玩到了13级,当天晚上就卸载了，抄不抄TX的尿性大家都清楚。进入游戏后嘛，各种界面都有氪金通道，反正就摆明白上，深刻贯彻了用薪创造快乐，你充钱了就牛逼发展主义大纲。操作毫无操作可言，三个职业:转转转,biubiubiu,***,就完事了，偶尔躲一下范围技能也叫操作的话，那当我没说。打击感也就那个吊样子，至于音效跟环境氛围烘托也就这个吊样子。进图接任务，完成任务后居然还能无法领取奖励。理由是你的疲劳不足。知道疲劳不足你别让我进图啊，一路刷完了你告诉我无法领取任务奖励。这好比你取个媳妇，入洞房了，宽衣解带后发现新娘子居然穿着贞操裤。感谢你们号称四年研究出来的游戏来敷衍我。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390329-5191,https://www.taptap.com/app/85838/review?order=default&page=4,width:,28px,玩了一天来评论，首先优点1.画质还是不错的，毕竟解压完4个多g2.前期过渡还算比较平滑，我现在34级一路割草，套装也很容易刷3.毕竟腾讯游戏，在社交方面没得说，四人战队，小队语音，微信拉好友都比较方便然后缺点1.不知道是不是我手机不行（845+8g），高画质下玩起来还是有点不流畅2.每次进游戏速度极慢，读图极慢，体验极差3.退游戏重进就各种弹氪金窗口，生怕不充钱吗，各种小红点，里面根本没有能点的东西还提示小红点（好像是回归福利那里），强迫症体验极差4.对网络要求极高，动不动就重连，重连就算了，连上之后人能动不能打，只能重新上游戏，上游戏又得重新打5.全面屏手势没有退出游戏功能？？？只能切屏杀后台进程6.已经是微信好友但是游戏里没显示，想加个好友都费劲7.剧情模式不知道是我没找到还是根本就没有暂停功能总结一下，质量还是可以，分低主要是因为体验实在是太差了，可能是因为对配置要求比较高的原因，读条速度太慢了，最后关于氪金这点只能说仁者见仁智者见智，只是因为是腾讯游戏就给低分有点太不客观,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390307-5012,https://www.taptap.com/app/85838/review?order=default&page=13,width:,14px,我给了1星，总有人认为给差评的都是腾讯水军，但我只是一个普通的平民玩家而已，想想这游戏的画风还行，我还是想吐槽一下这个游戏，氪不氪金咱不说，重点说下游戏里的问题我玩的圣骑士，现在45级，玩输出根本扛不住，打辅助又没伤害，打肉还凑合，重点是套装，竟然没有一个可以同时触发3个光环的套装，大大降低了游戏可玩度！只有拼命的刷远古，我觉得游戏以后要好好改一下套装的被动了，这个很关键，还有就是远古特么的能不能只爆本职业的，草！本来爆率就低！洛奈之地就是一个坑人的东西，要么就是出bug钥匙经验都没有，要么就是被玩家坑，升级真难！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390303-4981,https://www.taptap.com/app/85838/review?order=default&page=15,width:,28px,我说句实话吧，造型很暗黑，时装也挺帅……花不花钱我无所谓，但是！唯一接受不了的是优化，我8p，设置自定义，只有分辨率和高频是超高，其他都是中等，结果打个副本画面极其不稳定，肉眼可见的掉帧。这到以后刷怪多的岂不就是定格动画了？所以……冲了一个赛季30块，一个月卡30块，然后删了……有点难过……这不是我想要的暗黑，我宁愿要暗黑2的画面，但是我要有趣的玩法，稳定的画面，花钱都可以，就这样吧……我对暗黑手游的期望也不大了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390307-5015,https://www.taptap.com/app/85838/review?order=default&page=13,width:,28px,之前预约了搞了邀请好几个好友,,然后测试突然爽约变成不删档测试,然而不删档根本没有给我邀请根本进不去,好了公测了,,之前预约邀请的界面不知道飞哪里去了,,傀儡师要买？,,,你自己玩吧,游戏人看着挺多全是打两天人都跑了,工会变成鬼区,,最多三到四个满工会的,我也玩了三天,,想着没有傀儡师也能打打,,结果玩的不是一个游戏,,一个傀儡师加随便一个角色轻轻松松跑图,,你累死累活上蹿下跳还是被精英怪追着满屏跑,最后ko,,不值得肝,,充了1钱拿了2Q币不亏…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
